CASE_NUMBER,CASE_RECEIVED_DATE,DECISION_DATE,WORK_STATE,PAID_WAGE_PER_YEAR,JOB_TITLE_SUBGROUP,order
I-200-15036-056659,2/5/2015,2/14/2015,CA,210000,software engineer,340
I-200-15062-603720,3/4/2015,3/12/2015,CA,185000,software engineer,343
A-14164-78094,7/2/2014,11/28/2014,COLORADO,193625,assistant professor,352
A-14213-94641,8/1/2014,1/2/2015,PENNSYLVANIA,177000,assistant professor,355
I-200-12283-192987,10/9/2012,10/15/2012,GA,194227,assistant professor,358
I-200-13155-928144,6/6/2013,6/12/2013,FL,250000,assistant professor,361
A-14175-81450,7/1/2014,11/28/2014,TEXAS,172203,business analyst,364
I-200-14007-141420,1/7/2014,1/13/2014,PA,166860.72,assistant professor,368
I-200-14246-998960,9/19/2014,9/25/2014,CA,191494.8,software engineer,371
I-200-14225-309514,8/13/2014,8/20/2014,CA,180000,software engineer,374
I-200-14133-296220,5/20/2014,5/27/2014,CA,183000,software engineer,377
I-200-13056-696830,2/25/2013,3/1/2013,PA,175950,assistant professor,380
I-200-11200-868618,7/21/2011,12/12/2012,CA,175000,software engineer,383
I-200-14125-192613,5/5/2014,1/27/2015,CA,186667.68,software engineer,386
I-200-13109-694921,4/25/2013,5/1/2013,CA,190000,software engineer,389
I-200-13329-023308,11/27/2013,12/4/2013,CA,185000,software engineer,392
I-200-14031-954166,2/4/2014,2/10/2014,CA,202693.98,software engineer,395
A-14134-69468,5/23/2014,10/24/2014,NEW JERSEY,168875,software engineer,398
A-14155-74812,6/10/2014,11/13/2014,NEW YORK,168334,management consultant,401
I-200-13226-881119,8/15/2013,8/21/2013,CA,185208.65,software engineer,404
I-200-13291-064220,10/18/2013,11/4/2013,TX,304750,assistant professor,407
I-200-13161-307245,6/12/2013,6/18/2013,CA,178710,software engineer,411
I-200-10147-971626,5/28/2010,2/7/2013,TX,197000,assistant professor,414
I-200-12170-111871,6/18/2012,7/24/2013,TX,173000,assistant professor,418
I-200-13221-113466,8/9/2013,9/13/2013,CA,190000,software engineer,421
A-14118-64455,5/1/2014,10/15/2014,CALIFORNIA,170000,software engineer,424
I-200-14169-690460,6/19/2014,6/25/2014,CA,175000,software engineer,427
I-200-13192-012145,8/12/2013,8/19/2013,CA,200000,software engineer,510
I-200-14010-615297,1/17/2014,1/24/2014,MA,165000,assistant professor,536
I-200-14100-468525,4/10/2014,4/16/2014,MI,235000,assistant professor,539
I-200-13165-480383,6/14/2013,6/20/2013,MI,123552,assistant professor,545
I-200-14203-941538,7/22/2014,7/29/2014,NY,168000,business analyst,548
I-200-14224-373891,8/13/2014,8/19/2014,CA,164403,software engineer,551
I-200-13085-066592,3/26/2013,4/1/2013,MI,168480,assistant professor,555
I-200-15044-453452,2/13/2015,2/22/2015,IA,174000,assistant professor,558
I-200-15016-665614,1/16/2015,2/17/2015,IA,79223.04,assistant professor,561
I-200-13065-317164,3/13/2013,3/19/2013,KY,180000,assistant professor,580
I-200-13255-898090,9/24/2013,10/23/2013,NY,210000,assistant professor,585
I-200-11294-534470,10/21/2011,10/27/2011,CA,200000,management consultant,588
I-200-15007-463265,1/7/2015,3/20/2015,NY,165238,assistant professor,591
A-14302-20504,11/10/2014,4/29/2015,TEXAS,161782,software engineer,595
A-14303-21051,11/10/2014,5/1/2015,TEXAS,161782,software engineer,598
A-14314-24295,11/17/2014,5/11/2015,TEXAS,161782,software engineer,601
A-14316-25039,11/17/2014,5/11/2015,TEXAS,161782,software engineer,604
I-200-15007-228729,1/7/2015,1/13/2015,IA,188585,assistant professor,608
I-200-14115-863532,4/25/2014,5/1/2014,IA,170000,assistant professor,611
I-200-14273-039698,10/2/2014,10/8/2014,CA,161324,software engineer,614
A-14237-01264,12/8/2014,6/25/2015,ARIZONA,290000,assistant professor,617
A-14076-53589,9/23/2014,2/19/2015,ARIZONA,210000,assistant professor,620
I-200-13200-165158,7/19/2013,7/25/2013,NC,180000,assistant professor,623
A-13308-10759,8/13/2014,12/31/2014,ARIZONA,180000,assistant professor,626
I-200-15013-224917,1/13/2015,1/20/2015,CA,180000,software engineer,629
I-200-13121-834782,5/3/2013,3/28/2014,NC,180000,assistant professor,636
I-200-15079-207135,3/20/2015,3/31/2015,CA,159397,software engineer,639
I-200-13303-524275,10/31/2013,11/6/2013,CA,162500,software engineer,642
I-200-13239-463648,8/29/2013,9/5/2013,NY,210000,software engineer,645
I-200-13070-787668,3/11/2013,3/15/2013,NY,71585.28,assistant professor,648
I-200-13270-145416,9/27/2013,11/1/2013,CA,158600,software engineer,651
I-200-13213-809713,8/2/2013,8/8/2013,NC,220000,assistant professor,656
I-200-15078-860227,3/19/2015,3/30/2015,CA,180000,software engineer,659
I-200-13233-404684,8/21/2013,8/27/2013,OK,180000,assistant professor,662
I-200-14199-942945,7/18/2014,7/25/2014,CA,158046,software engineer,665
I-200-14044-805856,2/14/2014,2/21/2014,CA,157921,software engineer,668
I-200-13231-177089,9/5/2013,9/13/2013,CA,157470,software engineer,680
I-200-13063-335355,3/5/2013,3/11/2013,CA,157435,data scientist,684
I-200-11314-625645,11/14/2011,11/18/2011,WA,253008,assistant professor,688
I-200-13127-556115,5/7/2013,5/13/2013,NY,185000,software engineer,691
I-200-13135-146964,5/15/2013,5/21/2013,NY,195000,assistant professor,694
I-200-14149-337150,5/29/2014,6/4/2014,WV,74252.88,assistant professor,697
I-200-13238-628217,8/26/2013,8/30/2013,WV,300000,assistant professor,700
I-200-11299-195708,10/26/2011,11/1/2011,CA,156354,software engineer,703
I-200-15035-758227,2/4/2015,2/10/2015,MO,245000,assistant professor,707
I-200-15049-024553,2/18/2015,2/24/2015,MO,175000,assistant professor,710
I-200-14225-240052,8/13/2014,8/19/2014,NY,165000,data scientist,713
I-200-11285-097708,10/13/2011,10/19/2011,TX,222398,software engineer,718
A-14179-83354,7/11/2014,12/10/2014,CALIFORNIA,169000,software engineer,722
I-200-14297-184040,10/30/2014,11/6/2014,CA,170000,software engineer,726
I-200-12307-627340,11/2/2012,11/8/2012,AR,265000,assistant professor,729
I-200-15035-361542,2/4/2015,2/10/2015,CA,162000,software engineer,733
I-200-13010-319339,1/10/2013,1/16/2013,MO,300000,assistant professor,736
I-200-13092-668540,4/2/2013,4/8/2013,MO,155000,assistant professor,739
I-200-13066-113111,3/7/2013,3/13/2013,WI,165067,assistant professor,742
I-200-14234-806550,8/25/2014,8/29/2014,FL,153893,assistant professor,745
I-200-13109-992720,4/19/2013,4/19/2013,OK,153774,assistant professor,748
I-200-14020-011743,1/20/2014,1/24/2014,AR,192000,assistant professor,756
I-200-14020-158638,1/20/2014,1/22/2014,AR,180000,assistant professor,759
I-200-14090-754130,3/31/2014,4/4/2014,AR,180000,assistant professor,762
I-200-13260-188290,9/17/2013,9/25/2013,AR,171666,assistant professor,765
I-200-14036-670529,2/5/2014,2/12/2014,AR,158000,assistant professor,768
I-200-13073-882275,3/15/2013,3/21/2013,CA,152949,software engineer,771
I-200-14234-846829,8/22/2014,8/28/2014,NY,68824.08,assistant professor,774
I-200-15057-437074,2/27/2015,3/5/2015,CA,192102,software engineer,777
I-203-15064-236227,3/13/2015,3/19/2015,CA,153000,software engineer,780
I-200-14262-298757,9/19/2014,9/25/2014,CA,152901,software engineer,783
I-200-14339-834596,12/5/2014,12/12/2014,CA,350000,software engineer,786
I-200-15078-131171,3/19/2015,3/25/2015,CA,350000,software engineer,789
I-200-15012-428050,1/15/2015,1/22/2015,CA,300000,software engineer,792
I-200-15050-364572,2/19/2015,2/25/2015,CA,300000,software engineer,795
I-200-14202-966371,7/23/2014,7/29/2014,CA,280200,software engineer,798
I-200-15043-075959,2/12/2015,2/19/2015,CA,280000,software engineer,801
I-200-14308-217150,11/4/2014,11/10/2014,CA,260200,software engineer,804
I-200-15068-406936,3/9/2015,3/13/2015,CA,260000,software engineer,807
I-200-14294-017107,10/21/2014,10/27/2014,CA,250000,software engineer,810
I-200-14224-881492,8/14/2014,8/20/2014,CA,250000,software engineer,813
I-203-14269-698466,9/26/2014,10/2/2014,CA,240000,software engineer,816
I-200-15051-688524,2/20/2015,2/26/2015,CA,231774.4,software engineer,819
I-200-15035-607677,2/4/2015,2/10/2015,CA,230000,software engineer,822
I-200-15068-196280,3/9/2015,3/13/2015,CA,220000,software engineer,825
I-200-15042-634964,2/11/2015,2/18/2015,CA,211595,software engineer,828
I-200-15057-743758,2/26/2015,3/4/2015,CA,202750,software engineer,831
I-200-15083-931123,3/24/2015,3/30/2015,CA,196598.03,software engineer,834
I-200-14295-599095,10/22/2014,10/28/2014,CA,190000,software engineer,837
I-200-15035-677690,2/9/2015,2/14/2015,CA,182000,software engineer,840
I-200-15013-303055,1/15/2015,1/22/2015,CA,180000,software engineer,843
I-200-15051-478355,2/26/2015,3/4/2015,CA,180000,software engineer,846
I-200-14309-884458,11/5/2014,11/12/2014,CA,179310.6,software engineer,849
I-200-14317-272110,11/14/2014,11/20/2014,CA,175000,software engineer,852
I-200-14261-154514,9/19/2014,9/25/2014,CA,175000,data scientist,855
I-200-15015-107636,2/3/2015,2/9/2015,CA,173200,software engineer,858
I-200-14290-580803,10/17/2014,10/23/2014,CA,170000,software engineer,861
I-200-15005-730646,1/5/2015,1/9/2015,CA,170000,software engineer,864
I-200-15050-571743,2/20/2015,3/2/2015,CA,170000,software engineer,867
I-200-15083-522217,3/24/2015,3/30/2015,CA,170000,software engineer,870
I-200-15071-749146,3/12/2015,3/18/2015,CA,169520,software engineer,873
I-200-14258-426317,9/17/2014,9/23/2014,CA,167000,software engineer,876
I-200-14282-866893,10/10/2014,10/17/2014,CA,165000,software engineer,879
I-200-15055-519546,2/25/2015,3/3/2015,CA,165000,software engineer,882
I-200-15083-279979,3/24/2015,3/30/2015,CA,165000,software engineer,885
A-14308-22413,11/20/2014,5/6/2015,CALIFORNIA,164808,software engineer,888
I-200-15049-764695,2/25/2015,3/4/2015,CA,163483,software engineer,891
I-200-14315-477739,11/17/2014,11/22/2014,CA,161000,software engineer,894
I-200-14322-649049,11/18/2014,11/24/2014,CA,160000,software engineer,897
I-200-15019-321026,1/19/2015,1/23/2015,CA,160000,software engineer,900
I-200-15083-749272,3/24/2015,3/30/2015,CA,160000,software engineer,903
I-200-14214-788467,8/5/2014,8/11/2014,CA,160000,software engineer,906
I-200-15048-035245,2/24/2015,3/2/2015,CA,159600,software engineer,909
I-200-14237-757609,8/26/2014,9/2/2014,CA,158000,software engineer,912
I-203-14356-730212,12/23/2014,12/30/2014,CA,157000,software engineer,915
A-14245-03292,9/15/2014,2/10/2015,CALIFORNIA,155000,software engineer,918
I-200-14317-909955,11/17/2014,11/22/2014,CA,155000,software engineer,921
I-200-15015-776597,1/16/2015,1/23/2015,CA,155000,software engineer,924
I-200-15042-335068,2/13/2015,2/22/2015,CA,155000,software engineer,927
I-200-14206-114644,7/28/2014,8/1/2014,CA,155000,software engineer,930
I-200-14265-912772,9/24/2014,9/30/2014,CA,155000,software engineer,933
I-200-14212-607814,7/31/2014,8/6/2014,CA,154200,software engineer,936
I-200-15023-255833,1/26/2015,1/30/2015,CA,153000,software engineer,939
I-200-15042-843936,3/6/2015,3/12/2015,CA,153000,software engineer,942
A-14242-02919,10/9/2014,3/5/2015,CALIFORNIA,152776,software engineer,945
A-14259-07280,9/16/2014,2/13/2015,CALIFORNIA,152776,software engineer,948
A-14259-07596,10/21/2014,3/12/2015,CALIFORNIA,152776,software engineer,951
A-14266-09404,9/23/2014,2/11/2015,CALIFORNIA,152776,software engineer,954
A-14267-09989,9/24/2014,2/13/2015,CALIFORNIA,152776,software engineer,957
A-14281-14297,10/14/2014,3/13/2015,CALIFORNIA,152776,software engineer,960
A-14301-20061,11/13/2014,4/29/2015,CALIFORNIA,152776,software engineer,963
A-14315-24644,11/20/2014,5/14/2015,CALIFORNIA,152776,software engineer,966
I-200-14281-036873,10/8/2014,10/15/2014,CA,152776,software engineer,969
I-200-14324-172230,11/20/2014,11/26/2014,CA,152776,software engineer,972
I-200-14337-356200,12/3/2014,12/9/2014,CA,152776,software engineer,975
I-200-15020-666151,1/20/2015,1/26/2015,CA,152776,software engineer,978
I-200-15039-110523,2/13/2015,2/22/2015,CA,152776,software engineer,981
I-200-15049-569657,2/18/2015,2/24/2015,CA,152776,software engineer,984
I-200-15057-698066,3/4/2015,3/10/2015,CA,152776,software engineer,987
I-200-15068-872329,3/9/2015,3/13/2015,CA,152776,software engineer,990
I-200-15069-997619,3/10/2015,3/31/2015,CA,152776,software engineer,993
I-200-15070-585432,3/11/2015,3/18/2015,CA,152776,software engineer,996
I-200-15076-772736,3/18/2015,3/24/2015,CA,152776,software engineer,999
I-200-15082-547022,3/23/2015,3/27/2015,CA,152776,software engineer,1002
I-200-14182-978824,7/2/2014,7/9/2014,CA,152776,software engineer,1005
I-200-14184-798832,7/9/2014,7/15/2014,CA,152776,software engineer,1008
I-200-14196-830367,7/15/2014,7/21/2014,CA,152776,software engineer,1011
I-200-14241-233009,8/29/2014,9/5/2014,CA,152776,software engineer,1014
I-200-14252-822319,9/10/2014,9/16/2014,CA,152776,software engineer,1017
I-200-15061-351328,3/3/2015,3/11/2015,CA,150000,software engineer,1020
I-200-14156-097526,6/5/2014,6/11/2014,TX,160000,assistant professor,1023
I-200-14149-041656,5/30/2014,6/18/2014,CA,175000,software engineer,1027
I-200-14052-679273,2/24/2014,2/28/2014,CA,165000,software engineer,1030
I-200-14108-836973,4/18/2014,4/18/2014,IL,250000,assistant professor,1033
I-200-14035-144608,2/4/2014,2/10/2014,IL,190000,assistant professor,1036
I-203-12353-261166,12/18/2012,12/24/2012,TX,161932,software engineer,1039
A-14181-83706,7/28/2014,12/16/2014,PENNSYLVANIA,227000,assistant professor,1042
I-200-13217-998475,8/6/2013,8/12/2013,CA,168360,software engineer,1045
I-200-15072-830218,3/18/2015,3/27/2015,CA,171523.17,software engineer,1048
I-200-15049-078537,2/24/2015,3/3/2015,CA,183066,data scientist,1051
I-200-15054-384630,3/2/2015,3/2/2015,CA,165000,data analyst,1054
I-200-14210-926243,8/8/2014,8/14/2014,NC,150000,assistant professor,1057
I-200-13309-208881,11/5/2013,11/12/2013,CA,175612,software engineer,1060
I-200-14171-632381,6/23/2014,6/27/2014,CA,154827,software engineer,1063
I-200-14112-669487,4/23/2014,4/29/2014,CA,150000,software engineer,1066
I-200-11315-395365,11/15/2011,11/21/2011,CA,210000,software engineer,1069
I-200-13259-852872,9/16/2013,9/25/2013,CA,150000,software engineer,1072
A-13339-22080,1/8/2014,6/16/2015,NEW JERSEY,149157,software engineer,1075
A-13343-23015,1/8/2014,6/16/2015,NEW JERSEY,149157,software engineer,1078
I-200-14328-351402,11/25/2014,12/2/2014,TX,290000,assistant professor,1081
I-200-14273-356215,9/30/2014,10/6/2014,TX,205000,assistant professor,1084
I-200-15040-839482,2/12/2015,2/20/2015,TX,195000,assistant professor,1087
I-200-15042-841523,2/11/2015,2/19/2015,TX,189000,assistant professor,1090
I-200-13157-148965,6/6/2013,6/12/2013,MN,72006.48,assistant professor,1093
I-200-15027-522802,1/27/2015,2/4/2015,CA,168300.7,software engineer,1096
I-200-14126-195381,5/6/2014,5/12/2014,KY,195000,assistant professor,1099
I-200-14344-245344,2/2/2015,2/6/2015,CA,240000,software engineer,1102
I-200-14287-565602,10/14/2014,10/20/2014,CA,220000,software engineer,1105
I-200-14335-506533,12/1/2014,12/5/2014,CA,215000,software engineer,1108
I-200-14251-541890,9/8/2014,9/12/2014,CA,200000,software engineer,1111
I-200-15056-925430,2/25/2015,3/3/2015,CA,185000,software engineer,1114
I-200-15060-486634,3/2/2015,3/6/2015,CA,180000,software engineer,1117
I-200-14224-223994,8/13/2014,8/19/2014,CA,169000,software engineer,1120
I-200-14337-958582,12/8/2014,12/12/2014,CA,165000,software engineer,1123
I-200-14241-398173,9/3/2014,9/9/2014,CA,165000,software engineer,1126
I-200-15077-492632,3/18/2015,3/24/2015,CA,163000,software engineer,1129
I-200-15048-909872,2/26/2015,3/4/2015,CA,160000,software engineer,1132
A-14252-05316,10/8/2014,3/5/2015,CALIFORNIA,158000,software engineer,1135
A-14255-06533,9/17/2014,2/9/2015,CALIFORNIA,155000,software engineer,1138
I-200-15061-201617,3/2/2015,3/6/2015,CA,155000,software engineer,1141
I-200-14351-157443,12/18/2014,12/24/2014,CA,154099.92,software engineer,1144
A-14295-18344,10/30/2014,4/17/2015,CALIFORNIA,152000,software engineer,1147
A-14303-21229,10/31/2014,4/17/2015,CALIFORNIA,150000,software engineer,1150
A-14310-23558,11/10/2014,5/7/2015,CALIFORNIA,150000,software engineer,1153
I-200-14272-765627,9/29/2014,10/3/2014,CA,150000,software engineer,1156
I-200-15029-217900,1/29/2015,2/4/2015,CA,150000,software engineer,1159
I-200-15049-702168,2/23/2015,2/27/2015,CA,150000,software engineer,1162
I-200-15069-173917,3/10/2015,3/23/2015,CA,150000,software engineer,1165
I-200-15076-880336,3/18/2015,3/24/2015,CA,150000,software engineer,1168
I-200-14224-836916,8/13/2014,8/19/2014,CA,150000,software engineer,1171
I-200-14255-039466,9/15/2014,9/19/2014,CA,150000,software engineer,1174
I-200-15084-154096,3/25/2015,3/31/2015,CA,148900,software engineer,1177
A-14163-77615,9/17/2014,2/6/2015,CALIFORNIA,148803,software engineer,1180
A-14284-15020,10/14/2014,10/22/2014,CALIFORNIA,148803,software engineer,1183
A-14300-19843,10/29/2014,4/17/2015,CALIFORNIA,148803,software engineer,1186
A-14323-26908,11/20/2014,5/4/2015,CALIFORNIA,148803,software engineer,1189
A-15111-69085,5/14/2015,5/27/2015,CALIFORNIA,148803,software engineer,1192
I-200-14297-885097,10/28/2014,11/3/2014,CA,148803,software engineer,1195
I-200-15035-106420,2/4/2015,2/10/2015,CA,148803,software engineer,1198
I-200-15049-916969,2/20/2015,2/26/2015,CA,148803,software engineer,1201
I-200-15058-531249,2/27/2015,3/5/2015,CA,148803,software engineer,1204
I-200-15075-734687,3/16/2015,3/20/2015,CA,148803,software engineer,1207
I-200-14183-014819,7/2/2014,7/9/2014,CA,148803,software engineer,1210
I-200-14224-279122,8/12/2014,8/18/2014,CA,148803,software engineer,1213
I-200-14233-599267,8/21/2014,8/27/2014,CA,148803,software engineer,1216
I-200-14253-774597,9/17/2014,9/23/2014,CA,148803,software engineer,1219
I-200-14227-116307,8/18/2014,8/21/2014,CA,134472,software engineer,1222
A-13192-79458,7/11/2013,3/31/2015,CALIFORNIA,180000,software engineer,1226
I-200-14192-433494,7/14/2014,7/21/2014,CA,147971,software engineer,1231
I-200-11305-349334,11/1/2011,11/3/2011,NY,78745.68,assistant professor,1234
I-200-15034-898133,2/3/2015,2/9/2015,PA,350000,assistant professor,1237
I-200-14248-919645,9/5/2014,9/11/2014,CA,177000,software engineer,1245
I-200-14255-328650,9/12/2014,9/18/2014,CA,170000,software engineer,1248
I-203-14293-688014,10/21/2014,10/27/2014,CA,155000,software engineer,1251
I-200-14275-878216,10/2/2014,10/8/2014,CA,150000,software engineer,1254
I-200-14280-345544,10/7/2014,10/14/2014,CA,148610,software engineer,1257
I-200-14231-247495,8/21/2014,8/27/2014,CA,147576,software engineer,1260
I-200-14073-975097,3/14/2014,3/20/2014,NM,230000,assistant professor,1263
I-200-13192-541161,7/11/2013,10/28/2014,NM,169400,assistant professor,1266
I-200-13295-729941,10/22/2013,11/1/2013,NM,155000,assistant professor,1269
I-200-13134-903757,5/16/2013,11/7/2014,CA,200000,software engineer,1272
I-200-13169-737888,6/21/2013,6/27/2013,CA,180000,software engineer,1275
I-200-13056-661036,2/25/2013,3/1/2013,CA,170000,data scientist,1278
I-200-12321-895598,11/16/2012,11/23/2012,CA,162000,software engineer,1281
I-200-13094-127012,4/9/2013,4/15/2013,CA,159500,software engineer,1284
I-200-12324-209165,11/20/2012,11/27/2012,CA,155000,software engineer,1287
A-13171-73687,9/10/2013,4/24/2015,CALIFORNIA,152134,software engineer,1290
A-13150-67320,5/28/2013,3/11/2015,CALIFORNIA,150696,software engineer,1293
I-200-13138-972163,5/18/2013,5/23/2013,CA,150075,software engineer,1296
I-200-13008-822717,1/8/2013,1/14/2013,CA,150000,software engineer,1299
I-200-13171-293327,6/20/2013,6/26/2013,CA,150000,software engineer,1302
A-13057-43400,2/26/2013,5/20/2015,CALIFORNIA,147472,software engineer,1305
A-13240-92110,9/10/2013,4/16/2015,CALIFORNIA,147472,software engineer,1308
I-200-12271-364284,10/5/2012,10/12/2012,CA,147472,software engineer,1311
I-200-12333-991942,11/29/2012,12/5/2012,CA,147472,software engineer,1314
I-200-13053-083494,2/26/2013,3/4/2013,CA,147472,software engineer,1317
I-200-13141-998592,5/22/2013,5/29/2013,CA,147472,software engineer,1320
I-200-13179-816286,6/28/2013,7/5/2013,CA,147472,software engineer,1323
I-200-13101-499735,4/11/2013,4/17/2013,NM,228760,assistant professor,1327
I-200-13008-526739,1/9/2013,1/15/2013,CA,160000,software engineer,1330
I-200-13018-225017,1/18/2013,1/25/2013,CA,148000,business analyst,1333
I-200-13053-855546,2/26/2013,3/4/2013,CA,147368,software engineer,1336
I-200-15069-634984,3/12/2015,3/23/2015,CA,149575,data scientist,1339
I-200-14209-725518,8/5/2014,8/12/2014,CA,167352.24,software engineer,1342
I-200-14175-171822,6/25/2014,7/1/2014,CA,163954.8,software engineer,1345
I-200-14205-768182,7/28/2014,8/4/2014,CA,154000,software engineer,1348
I-200-14178-007123,7/1/2014,2/5/2015,CA,150920,software engineer,1351
I-200-14160-092994,6/12/2014,6/18/2014,CA,148610,software engineer,1354
I-200-14168-051768,6/18/2014,6/24/2014,CA,147500,software engineer,1357
I-200-13135-980301,5/16/2013,5/22/2013,FL,162468,assistant professor,1360
I-200-12310-770815,11/5/2012,11/9/2012,OK,146619,assistant professor,1363
I-200-13094-816742,4/4/2013,4/10/2013,OK,146619,assistant professor,1366
I-200-14251-193762,9/8/2014,9/12/2014,NM,169400,assistant professor,1369
I-200-13064-840469,3/7/2013,3/13/2013,PA,170000,assistant professor,1372
