CASE_NUMBER,CASE_RECEIVED_DATE,DECISION_DATE,WORK_STATE,PAID_WAGE_PER_YEAR,JOB_TITLE_SUBGROUP,order,
I-200-13190-637367,7/10/2013,12/15/2014,CA,170000,software engineer,1877,0
I-200-13127-476736,5/7/2013,5/13/2013,CA,147999.96,software engineer,1883,0
I-200-13203-050551,7/22/2013,6/18/2014,CA,140760,software engineer,1892,0
I-200-13050-751279,3/7/2013,3/13/2013,CA,140000,data scientist,1901,0
I-200-14230-293936,8/19/2014,8/25/2014,CA,145000,software engineer,1907,0
I-200-14227-692103,8/15/2014,8/15/2014,MS,404400,assistant professor,1918,0
I-200-15055-721567,2/24/2015,3/4/2015,CA,145000,software engineer,1927,0
I-200-12114-428658,4/23/2012,11/5/2014,MI,300000,assistant professor,1933,0
I-200-14351-307559,12/17/2014,12/23/2014,CA,134837,data scientist,1942,0
I-200-13017-055405,1/17/2013,1/24/2013,MA,134694.82,assistant professor,1951,0
I-200-15037-734911,2/10/2015,2/17/2015,CA,200000,software engineer,1957,0
I-200-14287-093425,10/15/2014,10/21/2014,CA,180000,software engineer,1967,0
A-14307-22142,11/12/2014,5/21/2015,CALIFORNIA,175000,software engineer,1976,0
I-200-15084-812571,3/25/2015,3/31/2015,CA,175000,software engineer,1984,0
I-200-14345-085651,12/12/2014,12/18/2014,CA,170000,software engineer,1995,0
A-14283-14820,10/10/2014,11/18/2014,CALIFORNIA,165000,software engineer,2004,0
I-200-14211-174814,7/31/2014,8/6/2014,CA,165000,software engineer,2010,0
A-14304-21427,12/11/2014,6/26/2015,CALIFORNIA,160000,software engineer,2020,0
I-203-14274-614741,10/1/2014,10/7/2014,CA,160000,software engineer,2031,0
I-200-14254-680647,9/12/2014,9/18/2014,CA,160000,software engineer,2037,0
I-200-15041-781184,2/12/2015,2/19/2015,CA,155000,software engineer,2047,0
I-200-15016-923076,1/21/2015,1/27/2015,CA,154390,software engineer,2056,0
A-14328-28250,11/26/2014,6/1/2015,CALIFORNIA,152288.51,software engineer,2062,0
I-200-14330-302884,11/26/2014,12/3/2014,CA,150000,software engineer,2071,0
I-200-15042-565094,2/24/2015,3/2/2015,CA,150000,software engineer,2080,0
I-200-15071-809691,3/12/2015,3/18/2015,CA,150000,software engineer,2086,0
I-200-14223-077178,8/11/2014,8/15/2014,CA,150000,software engineer,2095,0
I-200-14280-165932,10/9/2014,10/16/2014,CA,145000,software engineer,2104,0
I-200-15062-521647,3/3/2015,3/9/2015,CA,145000,software engineer,2110,0
I-200-15049-997558,2/18/2015,2/24/2015,CA,141000,software engineer,2119,0
I-200-14352-624306,12/18/2014,12/24/2014,CA,140000,software engineer,2129,0
I-200-15019-202559,1/19/2015,1/23/2015,CA,140000,software engineer,2136,0
I-200-15063-321343,3/4/2015,3/10/2015,CA,140000,software engineer,2145,0
I-200-14232-581074,8/20/2014,8/26/2014,CA,140000,software engineer,2154,0
I-200-14198-801037,7/18/2014,7/24/2014,CA,137000,software engineer,2160,0
I-200-14324-411037,11/20/2014,11/26/2014,CA,135000,software engineer,2170,0
I-200-15035-315051,2/5/2015,2/13/2015,CA,135000,software engineer,2180,0
I-200-15068-187165,3/13/2015,3/19/2015,CA,135000,software engineer,2186,0
I-200-14182-973166,7/7/2014,7/11/2014,CA,135000,software engineer,2195,0
I-200-14252-511143,9/9/2014,9/15/2014,CA,135000,software engineer,2204,0
A-14213-94648,12/19/2014,6/24/2015,CALIFORNIA,134638,software engineer,2210,0
A-14279-13473,10/6/2014,3/3/2015,CALIFORNIA,134638,software engineer,2219,0
I-200-14125-011936,2/12/2015,2/19/2015,CA,134638,software engineer,2228,0
I-200-14314-786752,11/11/2014,11/17/2014,CA,134638,software engineer,2234,0
I-200-14364-818095,12/31/2014,1/7/2015,CA,134638,software engineer,2243,0
I-200-15048-618901,2/19/2015,2/25/2015,CA,134638,software engineer,2252,0
I-200-15064-275160,3/5/2015,3/11/2015,CA,134638,software engineer,2258,0
I-200-15075-415868,3/16/2015,3/20/2015,CA,134638,software engineer,2267,0
I-200-13273-375064,7/30/2014,8/7/2014,CA,134638,software engineer,2276,0
I-200-14232-147892,8/20/2014,8/26/2014,CA,134638,software engineer,2282,0
I-200-15057-061639,2/27/2015,3/9/2015,CA,125000,software engineer,2291,0
A-14164-78344,8/12/2014,12/31/2014,CALIFORNIA,240000,software engineer,2300,0
I-200-13269-688395,9/27/2013,10/21/2013,CA,220000,software engineer,2306,0
I-203-13249-601544,9/6/2013,9/12/2013,CA,206000,software engineer,2315,0
I-203-14018-545964,1/23/2014,1/30/2014,CA,197000,software engineer,2324,0
I-200-14071-329674,3/14/2014,3/20/2014,CA,189900,software engineer,2330,0
I-200-13317-013201,11/13/2013,11/19/2013,CA,180000,software engineer,2339,0
A-14315-24668,11/25/2014,5/14/2015,CALIFORNIA,175000,software engineer,2348,0
I-200-14056-933001,3/5/2014,6/12/2014,CA,172800,software engineer,2354,0
I-200-14084-629539,3/25/2014,3/31/2014,CA,170000,software engineer,2363,0
I-200-14064-137858,3/10/2014,3/14/2014,TX,168000,software engineer,2372,0
A-14139-70697,7/1/2014,11/28/2014,CALIFORNIA,165000,software engineer,2378,0
I-200-13199-010152,7/19/2013,7/25/2013,CA,165000,software engineer,2387,0
I-200-14156-182379,6/6/2014,6/12/2014,CA,162000,software engineer,2396,0
I-200-13205-529361,7/26/2013,9/10/2014,CA,160000,software engineer,2402,0
I-200-14169-159370,6/25/2014,7/1/2014,CA,160000,software engineer,2411,0
I-200-14007-986415,1/7/2014,1/13/2014,CA,158000,software engineer,2420,0
I-200-14169-823738,6/20/2014,6/26/2014,CA,156000,software engineer,2426,0
I-200-13233-409317,8/23/2013,8/22/2014,CA,155000,software engineer,2435,0
I-200-14142-461962,5/22/2014,5/29/2014,CA,155000,software engineer,2444,0
I-200-13269-603842,9/27/2013,11/1/2013,CA,153000,software engineer,2450,0
A-14015-33035,1/17/2014,6/25/2015,CALIFORNIA,150000,software engineer,2459,0
I-200-13297-754398,10/29/2013,11/12/2013,CA,150000,software engineer,2468,0
I-200-13346-883687,1/16/2014,1/23/2014,CA,150000,software engineer,2474,0
I-200-14068-021256,3/10/2014,3/14/2014,CA,150000,software engineer,2483,0
I-200-14115-065569,4/25/2014,5/1/2014,CA,150000,software engineer,2492,0
I-200-14163-215911,6/12/2014,6/18/2014,CA,150000,software engineer,2498,0
I-200-13221-957578,8/15/2013,8/21/2013,CA,150000,software engineer,2507,0
I-200-14086-475099,3/27/2014,4/2/2014,CA,148600,software engineer,2517,0
I-200-14092-753893,4/2/2014,4/9/2014,CA,146719.56,software engineer,2523,0
I-200-13316-300426,11/13/2013,11/19/2013,CA,145000,software engineer,2532,0
I-200-14034-354971,2/5/2014,2/12/2014,CA,145000,software engineer,2541,0
I-200-14090-156080,3/31/2014,4/4/2014,CA,145000,software engineer,2547,0
A-14125-66512,5/20/2014,10/30/2014,CALIFORNIA,144206,software engineer,2556,0
I-200-13238-472139,8/27/2013,9/3/2013,CA,142000,software engineer,2565,0
I-200-13238-211205,8/26/2013,8/30/2013,CA,140349,software engineer,2571,0
I-200-13296-686720,10/23/2013,11/1/2013,CA,140000,software engineer,2580,0
I-200-14070-310420,3/11/2014,3/17/2014,CA,140000,software engineer,2589,0
I-200-14114-792157,4/24/2014,4/30/2014,CA,140000,software engineer,2595,0
I-200-14177-888758,6/27/2014,7/3/2014,CA,140000,software engineer,2604,0
I-203-13232-542542,8/21/2013,8/27/2013,CA,140000,software engineer,2613,0
I-200-13291-993498,10/19/2013,10/26/2013,CA,138000,software engineer,2619,0
I-200-14041-295408,2/18/2014,2/24/2014,CA,136000,software engineer,2628,0
I-200-13273-851308,10/18/2013,10/26/2013,CA,135000,software engineer,2637,0
I-200-13344-205009,12/11/2013,12/18/2013,CA,135000,software engineer,2643,0
I-200-14055-602081,2/24/2014,2/28/2014,CA,135000,software engineer,2652,0
I-200-14078-739589,3/20/2014,3/26/2014,CA,135000,software engineer,2661,0
I-200-14113-341210,4/23/2014,4/30/2014,CA,135000,software engineer,2667,0
I-200-13239-282793,8/27/2013,9/3/2013,CA,135000,software engineer,2676,0
A-14151-73893,5/31/2014,10/16/2014,CALIFORNIA,134537,software engineer,2685,0
A-14134-69312,5/14/2014,11/5/2014,CALIFORNIA,134534,software engineer,2691,0
A-14169-79532,6/25/2014,11/13/2014,CALIFORNIA,134534,software engineer,2700,0
A-14178-83190,6/28/2014,11/18/2014,CALIFORNIA,134534,software engineer,2709,0
A-14213-94745,8/6/2014,1/9/2015,CALIFORNIA,134534,software engineer,2715,0
A-14265-08942,12/5/2014,6/19/2015,CALIFORNIA,134534,software engineer,2724,0
I-200-14002-442311,1/2/2014,10/6/2014,CA,134534,software engineer,2733,0
I-200-13295-383668,10/23/2013,11/1/2013,CA,134534,software engineer,2739,0
I-200-13339-009800,12/5/2013,12/11/2013,CA,134534,software engineer,2748,0
I-200-14046-547689,2/17/2014,2/21/2014,CA,134534,software engineer,2757,0
I-200-14065-551262,3/7/2014,3/13/2014,CA,134534,software engineer,2763,0
I-200-14092-795420,4/2/2014,4/28/2014,CA,134534,software engineer,2772,0
I-200-14125-455280,5/7/2014,5/13/2014,CA,134534,software engineer,2781,0
I-200-14162-062549,6/12/2014,6/18/2014,CA,134534,software engineer,2787,0
I-200-13235-053266,8/28/2013,9/5/2013,CA,134534,software engineer,2796,0
I-200-14310-590478,11/7/2014,11/14/2014,CA,175000,software engineer,2805,0
A-14238-01465,8/28/2014,1/22/2015,CALIFORNIA,168000,software engineer,2811,0
I-200-14342-414327,12/9/2014,12/15/2014,CA,158000,software engineer,2820,0
I-200-14191-734366,7/10/2014,7/16/2014,CA,150000,software engineer,2829,0
I-200-14303-996196,10/31/2014,11/6/2014,CA,140000,software engineer,2835,0
I-200-14205-933556,7/24/2014,7/30/2014,CA,137750,software engineer,2844,0
I-200-14234-076667,8/22/2014,8/28/2014,CA,135000,software engineer,2853,0
I-200-14337-979338,12/4/2014,12/10/2014,CA,134472,software engineer,2859,0
I-200-15050-906934,3/3/2015,3/9/2015,CA,134472,software engineer,2868,0
I-200-15076-822819,3/17/2015,3/25/2015,CA,134472,software engineer,2877,0
I-200-10116-116273,4/27/2010,11/28/2011,CA,134451,software engineer,2883,0
I-200-15020-078070,1/21/2015,1/28/2015,WA,193008,assistant professor,2899,0
I-200-14318-336851,11/14/2014,11/20/2014,CA,139100.09,software engineer,2908,0
I-200-15044-345086,2/13/2015,2/22/2015,MD,134035,assistant professor,2914,0
I-200-13077-370240,3/18/2013,3/22/2013,CA,155000,software engineer,2923,0
I-200-13127-353695,5/10/2013,5/22/2013,CA,142290,software engineer,2932,0
I-200-15022-034950,1/22/2015,1/29/2015,AL,234000,assistant professor,2938,0
I-200-15077-174149,3/18/2015,3/27/2015,AL,155993.76,assistant professor,2947,0
I-200-14203-715465,7/22/2014,7/28/2014,NY,140000,software engineer,2956,0
I-200-13016-993780,1/25/2013,1/29/2013,CA,133681,software engineer,2962,0
I-200-15043-953537,2/25/2015,3/3/2015,TX,260000,assistant professor,2971,0
I-200-13291-103072,11/21/2013,12/6/2013,CA,136169.96,software engineer,2980,0
I-200-15070-150646,3/17/2015,3/23/2015,CA,133515,software engineer,2986,0
I-200-14107-179919,4/24/2014,4/30/2014,CA,142803,software engineer,2995,0
I-200-13074-965861,3/15/2013,3/21/2013,PA,272563.2,assistant professor,3004,0
I-200-13098-713901,4/8/2013,4/12/2013,CA,203200,software engineer,3010,0
I-200-13116-767019,5/17/2013,6/3/2013,CA,187900,software engineer,3019,0
I-200-13066-259714,3/8/2013,3/14/2013,CA,173000,software engineer,3028,0
I-200-13102-284514,4/15/2013,4/19/2013,CA,170000,software engineer,3034,0
I-200-13086-529427,4/1/2013,4/5/2013,CA,165000,software engineer,3043,0
I-200-13011-834533,1/11/2013,1/17/2013,CA,160000.1,software engineer,3052,0
I-200-13077-647934,3/26/2013,4/1/2013,CA,160000,software engineer,3058,0
I-200-13046-428402,2/27/2013,6/12/2013,CA,156750,software engineer,3067,0
